name,main_category,sub_category,image,link,ratings,no_of_ratings,price
LEOTUDE NEON Green Cotton Blend T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/712GTx78xmL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Mens-Oversized-T-Shirt-FS49_NEON_Stronger_P_Neon_XL/dp/B0B7JZ841X/ref=sr_1_50?qid=1679139859&s=apparel&sr=1-50,3.5,441,299
pTron Bassbuds Duo Earbuds ,electronics,Headphones,https://m.media-amazon.com/images/I/51ZT3aMrJIL._AC_UL320_.jpg,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Assistance/dp/B09DD9SX9Z/ref=sr_1_20?qid=1679128666&s=electronics&sr=1-20,3.5,166394,799
ZEBRONICS Zeb-Bro Wired Earphones,electronics,Headphones,https://m.media-amazon.com/images/I/51D37uhFFBL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_21?qid=1679128666&s=electronics&sr=1-21,3.5,24675,149
pTron Bassbuds Duo Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/51phrq2UojL._AC_UL320_.jpg,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Assistance/dp/B09DD7N79Q/ref=sr_1_51?qid=1679128667&s=electronics&sr=1-51,3.5,166394,799
Daikin 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41O8pnwGG+L._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Display-Technology-MTKL50U/dp/B0BK1KS6ZD/ref=sr_1_26?qid=1679134237&s=kitchen&sr=1-26,3.5,2,39499
Samsung 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-Bacteria-AR18CYLANWK/dp/B0BRQB5SKS/ref=sr_1_35?qid=1679134239&s=kitchen&sr=1-35,3.5,15,37699
Flexi Madhav Bathroom Corner Rack,Furniture,Racks,https://m.media-amazon.com/images/I/61yFp5uq5cS._AC_UL320_.jpg,https://www.amazon.in/Flexi-Madhav-Self-Adhesive-Stainless-Bathroom/dp/B09VXLVGTT/ref=sr_1_481?qid=1679212908&s=kitchen&sr=1-481,3.4,292,299
Bharat Sales Vinyl Chair (Brown),Furniture,Chairs,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41b0zi94czL._AC_UL320_.jpg,https://www.amazon.in/Bharat-Sales-Adjustable-Height-Control/dp/B08VJ68429/ref=sr_1_357?qid=1679212904&s=kitchen&sr=1-357,3.3,109,499
Cane Crafts Bamboo Bait Wooden Shoe Rack ,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yymzx4FdL._AC_UL320_.jpg,https://www.amazon.in/Enterprises-Bamboo-Slipper-Planter-Bookshelf/dp/B09HBZ5NGB/ref=sr_1_350?qid=1679212904&s=kitchen&sr=1-350,3.3,163,1019
THE BLAZZE T-Shirts for Men's,clothing,T-Shirts,https://m.media-amazon.com/images/I/71Yp5jj+mYL._AC_UL320_.jpg,https://www.amazon.in/BLAZZE-0017-T-Shirts-Combo-Combo_1/dp/B093SQNMP9/ref=sr_1_74?qid=1679139862&s=apparel&sr=1-74,3.3,930,399
Fableart Tea Kettle 1 L,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/41wN0ismdQL._AC_UL320_.jpg,https://www.amazon.in/Fableart-Stainless-Steel-Thermo-Kettle/dp/B09HP2H7YN/ref=sr_1_2743?qid=1679135750&s=appliances&sr=1-2743,3.3,3,499
LG 0.8 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-protection-RS-Q10ENXE/dp/B0BQN41YJV/ref=sr_1_39?qid=1679134239&s=kitchen&sr=1-39,3.3,22,30490
wolpin Stainless Steel Wall Shelves Rack,Furniture,Racks,https://m.media-amazon.com/images/I/71YQYsNrI6L._AC_UL320_.jpg,https://www.amazon.in/Stainless-Shelves-Multipurpose-Bathroom-Accessories/dp/B0B2PSW7C4/ref=sr_1_503?qid=1679212908&s=kitchen&sr=1-503,3.2,83,879
Whirlpool 184L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/51b0MWxiRXL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-SAPPHIRE-BLOOM-Z/dp/B0BSRV1YGK/ref=sr_1_26?qid=1679134275&s=kitchen&sr=1-26,3.1,8,12890
The Modern Soul Women and Girls T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61a0FLRQejL._AC_UL320_.jpg,https://www.amazon.in/Modern-Soul-Cotton-Oversized-T-Shirts/dp/B0BWB8WPTF/ref=sr_1_2502?qid=1679152833&s=apparel&sr=1-2502,3,2,349
LEOTUDE Men's Cottonblend T-Shirts ,clothing,T-Shirts,https://m.media-amazon.com/images/I/61bzvKukDhL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Round-T-Shirts-FS49_LOSANGELES_P_Brown_M/dp/B0BVW4R64W/ref=sr_1_18?qid=1679139859&s=apparel&sr=1-18,2.7,11,299
Havells-Lloyd 91L Single Door Fridge ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/51znD1L80nL._AC_UL320_.jpg,https://www.amazon.in/Direct-Cool-Single-Fridge-GLDC111RMGW1EB-METALLIC/dp/B08PP223WX/ref=sr_1_48?qid=1679134276&s=kitchen&sr=1-48,2.7,9,9990
BDMP 3 Shelves Shoe Stand Storage Rack ,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61sDrHke87L._AC_UL320_.jpg,https://www.amazon.in/BDMP-Shelves-Collapsible-Storage-Footwear/dp/B0BVBN2ZBD/ref=sr_1_353?qid=1679212904&s=kitchen&sr=1-353,1.7,8,299
Nike Mens Free Metcon 4 Running Shoe,clothing,Shoes,https://m.media-amazon.com/images/I/71oIdzbvFyL._AC_UL320_.jpg,https://www.amazon.in/Nike-Metcon-4-Black-Strike-White-Racer-BLUE-CT3886-074-8-5/dp/B0BJ2T5R1N/ref=sr_1_1968?qid=1679147255&s=shoes&sr=1-1968,1,1,6679
